gvkeyx,prccm,datadate,tic
000002,1390.3600,01/31/2010,I0002
000002,1429.9100,02/28/2010,I0002
000002,1506.9100,03/31/2010,I0002
000002,1527.7900,04/30/2010,I0002
000002,1404.0500,05/31/2010,I0002
000002,1328.1900,06/30/2010,I0002
000002,1418.4100,07/31/2010,I0002
000002,1356.4100,08/31/2010,I0002
000002,1486.7900,09/30/2010,I0002
000002,1550.2100,10/31/2010,I0002
000002,1549.8900,11/30/2010,I0002
000002,1642.3800,12/31/2010,I0002
000002,1679.9900,01/31/2011,I0002
000002,1737.4800,02/28/2011,I0002
000002,1743.5200,03/31/2011,I0002
000002,1802.8500,04/30/2011,I0002
000002,1783.0700,05/31/2011,I0002
000002,1752.6200,06/30/2011,I0002
000002,1720.6200,07/31/2011,I0002
000002,1631.2200,08/31/2011,I0002
000002,1522.6100,09/30/2011,I0002
000002,1681.5100,10/31/2011,I0002
000002,1684.7300,11/30/2011,I0002
000002,1695.4800,12/31/2011,I0002
000002,1767.6000,01/31/2012,I0002
000002,1840.3200,02/29/2012,I0002
000002,1880.5900,03/31/2012,I0002
000002,1876.6300,04/30/2012,I0002
000002,1763.2600,05/31/2012,I0002
000002,1829.7400,06/30/2012,I0002
000002,1856.6900,07/31/2012,I0002
000002,1897.3590,08/31/2012,I0002
000002,1944.4310,09/30/2012,I0002
000002,1888.0052,10/31/2012,I0002
000002,1903.0730,11/30/2012,I0002
000002,1902.9980,12/31/2012,I0002
000002,1995.3900,01/31/2013,I0002
000002,2016.1660,02/28/2013,I0002
000002,2087.2840,03/31/2013,I0002
000002,2118.0840,04/30/2013,I0002
000002,2157.0090,05/31/2013,I0002
000002,2124.1200,06/30/2013,I0002
000002,2229.1330,07/31/2013,I0002
000002,2170.9990,08/31/2013,I0002
000002,2237.9550,09/30/2013,I0002
000002,2343.6850,10/31/2013,I0002
000002,2405.5570,11/30/2013,I0002
000002,2465.3580,12/31/2013,I0002
000002,2371.9150,01/31/2014,I0002
000002,2483.9090,02/28/2014,I0002
000002,2485.3110,03/31/2014,I0002
000002,2508.4740,04/30/2014,I0002
000002,2567.1550,05/31/2014,I0002
000002,2612.5440,06/30/2014,I0002
000002,2579.4540,07/31/2014,I0002
000002,2674.2860,08/31/2014,I0002
000002,2625.2340,09/30/2014,I0002
000002,2675.1470,10/31/2014,I0002
000002,2742.5760,11/30/2014,I0002
000002,2714.5090,12/31/2014,I0002
000002,2647.8780,01/31/2015,I0002
000002,2809.0880,02/28/2015,I0002
000002,2757.1940,03/31/2015,I0002
000002,2787.9190,04/30/2015,I0002
000002,2819.3770,05/31/2015,I0002
000002,2756.6590,06/30/2015,I0002
000002,2800.4020,07/31/2015,I0002
000002,2627.6460,08/31/2015,I0002
000002,2554.0280,09/30/2015,I0002
000002,2786.2830,10/31/2015,I0002
000002,2782.4540,11/30/2015,I0002
000002,2735.9170,12/31/2015,I0002
000002,2611.9210,01/31/2016,I0002
000002,2608.8280,02/29/2016,I0002
000002,2777.1920,03/31/2016,I0002
000002,2772.3180,04/30/2016,I0002
000002,2816.5620,05/31/2016,I0002
000002,2833.0200,06/30/2016,I0002
000002,2939.0990,07/31/2016,I0002
000002,2920.5340,08/31/2016,I0002
000002,2928.9810,09/30/2016,I0002
000002,2852.7340,10/31/2016,I0002
000002,2911.9860,11/30/2016,I0002
000002,2949.5840,12/31/2016,I0002
000002,3013.9510,01/31/2017,I0002
000002,3117.6180,02/28/2017,I0002
000002,3138.8370,03/31/2017,I0002
000002,3178.7010,04/30/2017,I0002
000002,3226.2810,05/31/2017,I0002
000002,3209.6980,06/30/2017,I0002
000002,3281.0320,07/31/2017,I0002
000002,3289.8890,08/31/2017,I0002
000002,3342.2300,09/30/2017,I0002
000002,3416.2060,10/31/2017,I0002
000002,3506.2840,11/30/2017,I0002
000002,3545.8850,12/31/2017,I0002
000002,3765.2640,01/31/2018,I0002
000002,3619.0680,02/28/2018,I0002
000002,3516.1440,03/31/2018,I0002
000002,3529.1520,04/30/2018,I0002
000002,3630.9730,05/31/2018,I0002
000002,3662.5850,06/30/2018,I0002
000002,3784.8740,07/31/2018,I0002
000002,3916.9970,08/31/2018,I0002
000002,3958.7360,09/30/2018,I0002
000002,3653.2710,10/31/2018,I0002
000002,3702.3320,11/30/2018,I0002
000002,3374.6650,12/31/2018,I0002
000002,3637.0800,01/31/2019,I0002
000002,3751.0300,02/28/2019,I0002
000002,3843.8780,03/31/2019,I0002
000002,3975.7650,04/30/2019,I0002
000002,3702.7730,05/31/2019,I0002
000002,3975.7090,06/30/2019,I0002
000002,4021.4170,07/31/2019,I0002
000002,3953.9260,08/31/2019,I0002
000002,4002.9630,09/30/2019,I0002
000002,4093.4620,10/31/2019,I0002
000002,4241.7300,11/30/2019,I0002
000002,4371.6250,12/31/2019,I0002
000002,4370.4840,01/31/2020,I0002
000002,4026.9440,02/29/2020,I0002
000002,3581.2870,03/31/2020,I0002
000002,4075.1570,04/30/2020,I0002
000002,4274.4570,05/31/2020,I0002
000002,4377.6410,06/30/2020,I0002
000002,4625.2580,07/31/2020,I0002
000002,4988.0740,08/31/2020,I0002
000002,4774.1880,09/30/2020,I0002
000002,4621.1020,10/31/2020,I0002
000002,5106.9260,11/30/2020,I0002
000002,5297.2850,12/31/2020,I0002
000002,5246.2190,01/31/2021,I0002
000002,5336.7380,02/28/2021,I0002
000002,5535.1520,03/31/2021,I0002
000002,5813.3870,04/30/2021,I0002
000002,5813.1290,05/31/2021,I0002
000002,6005.9730,06/30/2021,I0002
000002,6166.9060,07/31/2021,I0002
000002,6331.5080,08/31/2021,I0002
000002,6016.3250,09/30/2021,I0002
000005,10067.3300,01/31/2010,I0005
000005,10325.2600,02/28/2010,I0005
000005,10856.6300,03/31/2010,I0005
000005,11008.6100,04/30/2010,I0005
000005,10136.6300,05/31/2010,I0005
000005,9774.0200,06/30/2010,I0005
000005,10465.9400,07/31/2010,I0005
000005,10014.7200,08/31/2010,I0005
000005,10788.0500,09/30/2010,I0005
000005,11118.4900,10/31/2010,I0005
000005,11006.0200,11/30/2010,I0005
000005,11577.5100,12/31/2010,I0005
000005,11891.9300,01/31/2011,I0005
000005,12226.3400,02/28/2011,I0005
000005,12319.7300,03/31/2011,I0005
000005,12810.5400,04/30/2011,I0005
000005,12569.7900,05/31/2011,I0005
000005,12414.3400,06/30/2011,I0005
000005,12143.2400,07/31/2011,I0005
000005,11613.5300,08/31/2011,I0005
000005,10913.3800,09/30/2011,I0005
000005,11955.0100,10/31/2011,I0005
000005,12045.6800,11/30/2011,I0005
000005,12217.5600,12/31/2011,I0005
000005,12632.9100,01/31/2012,I0005
000005,12952.0700,02/29/2012,I0005
000005,13212.0400,03/31/2012,I0005
000005,13213.6300,04/30/2012,I0005
000005,12393.4500,05/31/2012,I0005
000005,12880.0900,06/30/2012,I0005
000005,13008.6800,07/31/2012,I0005
000005,13090.8400,08/31/2012,I0005
000005,13437.1300,09/30/2012,I0005
000005,13096.4600,10/31/2012,I0005
000005,13025.5800,11/30/2012,I0005
000005,13104.1400,12/31/2012,I0005
000005,13860.5800,01/31/2013,I0005
000005,14054.4900,02/28/2013,I0005
000005,14578.5400,03/31/2013,I0005
000005,14839.8000,04/30/2013,I0005
000005,15115.5700,05/31/2013,I0005
000005,14909.6000,06/30/2013,I0005
000005,15499.5400,07/31/2013,I0005
000005,14810.3100,08/31/2013,I0005
000005,15129.6700,09/30/2013,I0005
000005,15545.7500,10/31/2013,I0005
000005,16086.4100,11/30/2013,I0005
000005,16576.6600,12/31/2013,I0005
000005,15698.8500,01/31/2014,I0005
000005,16321.7100,02/28/2014,I0005
000005,16457.6600,03/31/2014,I0005
000005,16580.8400,04/30/2014,I0005
000005,16717.1700,05/31/2014,I0005
000005,16826.6000,06/30/2014,I0005
000005,16563.3000,07/31/2014,I0005
000005,17098.4500,08/31/2014,I0005
000005,17042.9000,09/30/2014,I0005
000005,17390.5200,10/31/2014,I0005
000005,17828.2400,11/30/2014,I0005
000005,17823.0700,12/31/2014,I0005
000005,17164.9500,01/31/2015,I0005
000005,18132.7000,02/28/2015,I0005
000005,17776.1200,03/31/2015,I0005
000005,17840.5200,04/30/2015,I0005
000005,18010.6800,05/31/2015,I0005
000005,17619.5100,06/30/2015,I0005
000005,17689.8600,07/31/2015,I0005
000005,16528.0300,08/31/2015,I0005
000005,16284.7000,09/30/2015,I0005
000005,17663.5400,10/31/2015,I0005
000005,17719.9200,11/30/2015,I0005
000005,17425.0300,12/31/2015,I0005
000005,16466.3000,01/31/2016,I0005
000005,16516.5000,02/29/2016,I0005
000005,17685.0900,03/31/2016,I0005
000005,17773.6400,04/30/2016,I0005
000005,17787.2000,05/31/2016,I0005
000005,17929.9900,06/30/2016,I0005
000005,18432.2400,07/31/2016,I0005
000005,18400.8800,08/31/2016,I0005
000005,18308.1500,09/30/2016,I0005
000005,18142.4200,10/31/2016,I0005
000005,19123.5800,11/30/2016,I0005
000005,19762.6000,12/31/2016,I0005
000005,19864.0900,01/31/2017,I0005
000005,20812.2400,02/28/2017,I0005
000005,20663.2200,03/31/2017,I0005
000005,20940.5100,04/30/2017,I0005
000005,21008.6500,05/31/2017,I0005
000005,21349.6300,06/30/2017,I0005
000005,21891.1200,07/31/2017,I0005
000005,21948.1000,08/31/2017,I0005
000005,22405.0900,09/30/2017,I0005
000005,23377.2400,10/31/2017,I0005
000005,24272.3500,11/30/2017,I0005
000005,24719.2200,12/31/2017,I0005
000005,26149.3900,01/31/2018,I0005
000005,25029.2000,02/28/2018,I0005
000005,24103.1100,03/31/2018,I0005
000005,24163.1500,04/30/2018,I0005
000005,24415.8400,05/31/2018,I0005
000005,24271.4100,06/30/2018,I0005
000005,25415.1900,07/31/2018,I0005
000005,25964.8200,08/31/2018,I0005
000005,26458.3100,09/30/2018,I0005
000005,25115.7600,10/31/2018,I0005
000005,25538.4600,11/30/2018,I0005
000005,23327.4600,12/31/2018,I0005
000005,24999.6700,01/31/2019,I0005
000005,25916.0000,02/28/2019,I0005
000005,25928.6800,03/31/2019,I0005
000005,26592.9100,04/30/2019,I0005
000005,24815.0400,05/31/2019,I0005
000005,26599.9600,06/30/2019,I0005
000005,26864.2700,07/31/2019,I0005
000005,26403.2800,08/31/2019,I0005
000005,26916.8300,09/30/2019,I0005
000005,27046.2300,10/31/2019,I0005
000005,28051.4100,11/30/2019,I0005
000005,28538.4400,12/31/2019,I0005
000005,28256.0300,01/31/2020,I0005
000005,25409.3600,02/29/2020,I0005
000005,21917.1600,03/31/2020,I0005
000005,24345.7200,04/30/2020,I0005
000005,25383.1100,05/31/2020,I0005
000005,25812.8800,06/30/2020,I0005
000005,26428.3200,07/31/2020,I0005
000005,28430.0500,08/31/2020,I0005
000005,27781.7000,09/30/2020,I0005
000005,26501.6000,10/31/2020,I0005
000005,29638.6400,11/30/2020,I0005
000005,30606.4800,12/31/2020,I0005
000005,29982.6200,01/31/2021,I0005
000005,30932.3700,02/28/2021,I0005
000005,32981.5500,03/31/2021,I0005
000005,33874.8500,04/30/2021,I0005
000005,34529.4500,05/31/2021,I0005
000005,34502.5100,06/30/2021,I0005
000005,34935.4700,07/31/2021,I0005
000005,35360.7300,08/31/2021,I0005
000005,33843.9200,09/30/2021,I0005
